trip_date|trip_origin|trip_destination|trip_start_time|trip_end_time|start_odometer|end_odometer|distance_km|vin_or_truck_number|ab_kms|bc_kms|sk_kms|mb_kms|on_kms|ab_fuel|bc_fuel|sk_fuel|mb_fuel|on_fuel|source_file
02/5/22 |Abbotsford, BC |Valemount, BC |||771515 |772250 |735 |2||735 |||||550 ||||Distance log 2.pdf
03/5/22 |Valemount, BC |Nisku, AB |||772250 |772750 |500 |2|450 |50 ||||688 |||||Distance log 2.pdf
04/5/22 |nisku to grande prairie |Nisku, AB |||772750 |773800 |1050 |2|1050 ||||||||||Distance log 2.pdf
05/5/22 |Nisku, AB |Dawson Creek, BC |||773800 |774430 |630 |2|550 |80 ||||690 |||||Distance log 2.pdf
06/5/22 |Fort St. Jhon, BC |Nisku, AB |||774430 |775250 |820 |2|600 |220 ||||500 |||||Distance log 2.pdf
09/5/22 |nisku to grande prairie |Nisku, AB |||775250 |776280 |1030 |2|1030 |||||500 |||||Distance log 2.pdf
10/5/22 |nisku to grande prairie |Nisku, AB |||776280 |777300 |1020 |2|1020 |||||500 |||||Distance log 2.pdf
11/5/22 |Nisku, AB |Chetwynd, BC |||777300 |778050 |750 |2|600 |150 |||||||||Distance log 2.pdf
12/5/22 |Chetwynd, BC |Nisku, AB |||778050 |778950 |900 |2|700 |200 ||||600 |||||Distance log 2.pdf
15/5/22 |Nisku, AB |Prince George, BC |||778950 |779750 |800 |2|450 |350 |||||||||Distance log 2.pdf
16/5/22 |Prince George, BC |Nisku, AB |||779750 |780650 |900 |2|550 |350 |||||600 ||||Distance log 2.pdf
20/5/22 |Nisku to Whitecourt |Nisku, AB |||780650 |781080 |430 |2|430 |||||680 |||||Distance log 2.pdf
23/5/22 |Nisku, AB |Chetwynd, BC |||781080 |781850 |770 |2|600 |170 ||||250 |||||Distance log 2.pdf
24/5/22 |Chetwynd, BC |Nisku, AB |||781850 |782700 |850 |2|650 |200 ||||624 |||||Distance log 2.pdf
25/5/22 |Nisku, AB |Hope, BC |||782700 |783750 |1050 |2|450 |600 |||||||||Distance log 2.pdf
26/5/22 |Hope to Surrey |Barriere, BC |||783750 |784330 |580 |2||580 |||||620 ||||Distance log 2.pdf
27/5/22 |Barrier to Lacombe |Nisku, AB |||784330 |785380 |1050 |2|750 |300 ||||600 |||||Distance log 2.pdf
30/5/22 |Nisku, AB |Hope, BC |||785380 |786430 |1050 |2|450 |600 ||||310 |||||Distance log 2.pdf
31/5/22 |Hope to Surrey |Valemount, BC |||786430 |787270 |840 |2||840 |||||600 ||||Distance log 2.pdf
||||||||2|||||||||||Distance log 2.pdf
01/4/22 |Kelowna, BC |Nisku, AB |||754000 |755050 |1050 |2|500 |550 |||||550 ||||Distance log 2.pdf
04/4/22 |Nisku, AB |Clairmont, AB |||755050 |755600 |550 |2|550 |||||963 |||||Distance log 2.pdf
05/4/22 |Clairmont to FSJ, BC |Nisku, AB |||755600 |756550 |950 |2|650 |300 |||||||||Distance log 2.pdf
06/4/22 |Nisku to prince george |Jasper, AB |||756550 |757700 |1150 |2|500 |650 |||||||||Distance log 2.pdf
07/4/22 |nisku to grande prairie |Nisku, AB |||757700 |758800 |1100 |2|1100 |||||690 |||||Distance log 2.pdf
10/4/22 |Nisku, AB |Grande Prairie, AB |||758800 |759300 |500 |2|500 |||||630 |||||Distance log 2.pdf
11/4/22 |Grande Prairie, AB |Nisku, AB |||759300 |759850 |550 |2|550 |||||350 |||||Distance log 2.pdf
12/4/22 |Nisku, AB |Kelowna, BC |||759850 |760850 |1000 |2|500 |500 |||||500 ||||Distance log 2.pdf
13/4/22 |Kelowna, BC |Nisku, AB |||760850 |761800 |950 |2|450 |500 ||||500 |||||Distance log 2.pdf
14/4/22 |Nisku, AB |Prince George, BC |||761800 |762600 |800 |2|450 |350 |||||||||Distance log 2.pdf
15/4/22 |Prince George, BC |Nisku, AB |||762600 |763450 |850 |2|500 |350 |||||400 ||||Distance log 2.pdf
18/4/22 |Nisku, AB |Fort St. Jhon, BC |||763450 |764150 |700 |2|550 |150 ||||610 |||||Distance log 2.pdf
19/4/22 |Fort St. Jhon, BC |Nisku, AB |||764150 |764900 |750 |2|600 |150 ||||550 |||||Distance log 2.pdf
20/4/22 |Nisku to Manning |Chetwynd, BC |||764900 |765950 |1050 |2|900 |150 ||||440 |||||Distance log 2.pdf
21/4/22 |Chetwynd to PG, BC |Nisku, AB |||765950 |767050 |1100 |2|500 |600 |||||350 ||||Distance log 2.pdf
22/4/22 |Nisku, AB |Nisku, AB |||767050 |767170 |120 |2|120 ||||||||||Distance log 2.pdf
24/4/22 |Nisku, AB |Agassiz, BC |||767170 |768270 |1100 |2|500 |600 ||||740 |||||Distance log 2.pdf
25/4/22 |Agassiz, BC |Hinton, AB |||768270 |769270 |1000 |2|800 |200 |||||535 ||||Distance log 2.pdf
26/4/22 |Hinton to GP, AB |Nisku, AB |||769270 |770320 |1050 |2|1050 |||||600 |||||Distance log 2.pdf
28/4/22 |Nisku, AB |Abbotsford, BC |||770320 |771515 |1195 |2|530 |665 ||||662 |||||Distance log 2.pdf
01/3/22 |Nisku, AB |Fort St. Jhon, BC |||731600 |732400 |800 |2|650 |150 ||||650 |||||Distance log 2.pdf
02/3/22 |Fort St. Jhon, BC |Nisku to Fox Creek |||732400 |733470 |1070 |2|920 |150 ||||700 |||||Distance log 2.pdf
03/3/22 |Fox Creek to Grande Prairie |Nisku to Valleyview |||733470 |734550 |1080 |2|1080 |||||700 |||||Distance log 2.pdf
04/3/22 |Valleyview, AB |Chetwynd to Nisku |||734550 |735650 |1100 |2|750 |350 |||||||||Distance log 2.pdf
07/3/22 |Nisku to Chetwynd |Prince George, BC |||735650 |736700 |1050 |2|650 |400 ||||850 |||||Distance log 2.pdf
08/3/22 |Prince George, BC |Nisku, AB |||736700 |737550 |850 |2|500 |350 ||||650 |||||Distance log 2.pdf
09/3/22 |nisku to grande prairie |Nisku, AB |||737550 |738550 |1000 |2|1000 |||||621 |||||Distance log 2.pdf
10/3/22 |Nisku to Chetwynd |Prince George, BC |||738550 |739600 |1050 |2|650 |400 |||||650 ||||Distance log 2.pdf
11/3/22 |Prince George, BC |Nisku, AB |||739600 |740600 |1000 |2|650 |350 |||||||||Distance log 2.pdf
14/3/22 |nisku to grande prairie |Nisku, AB |||740600 |741650 |1050 |2|1050 |||||650 |||||Distance log 2.pdf
15/3/22 |Nisku to Clairmont |Nisku, AB |||741650 |742700 |1050 |2|1050 |||||750 |||||Distance log 2.pdf
16/3/22 |Nisku to Hinton |Red Deer to Nisku |||742700 |743580 |880 |2|880 |||||600 |||||Distance log 2.pdf
17/3/22 |Nisku, AB |Prince George, BC |||743580 |744350 |770 |2|420 |350 ||||330 |||||Distance log 2.pdf
18/3/22 |Prince George, BC |Nisku, AB |||744350 |745300 |950 |2|600 |350 ||||550 |||||Distance log 2.pdf
21/3/22 |Nisku to Hinton |Calgary to Nisku |||745300 |746450 |1150 |2|1150 |||||350 |||||Distance log 2.pdf
22/3/22 |Nisku to Clairmont |Acheson to Clairmont |||746450 |747550 |1100 |2|1100 |||||500 |||||Distance log 2.pdf
23/3/22 |Clairmont to Edm. |Edm. to Clairmont |||747550 |748650 |1100 |2|1100 |||||500 |||||Distance log 2.pdf
24/3/22 |Clairmont to Edm. |Edm. to Clairmont |||748650 |749750 |1100 |2|1100 |||||550 |||||Distance log 2.pdf
25/3/22 |Clairmont to Edm. |Nisku, AB |||749750 |750450 |700 |2|700 |||||550 |||||Distance log 2.pdf
28/3/22 |Nisku, AB |Kamloops, BC |||750450 |751350 |900 |2|450 |450 ||||550 |||||Distance log 2.pdf
29/3/22 |Kamloops to Surrey |Valemount, BC |||751350 |752380 |1030 |2||1030 |||||500 ||||Distance log 2.pdf
30/3/22 |Valemount, BC |Nisku, AB |||752380 |752980 |600 |2|500 |100 ||||690 |||||Distance log 2.pdf
31/3/22 |Nisku, AB |Kelowna, BC |||752980 |754000 |1020 |2|520 |500 |||||||||Distance log 2.pdf
||||||to F1 ||2|||||||||||Distance log 2.pdf
06/2/22 |Nisku, AB |Kelowna, BC |||716080 |717150 |1070 |2|500 |570 ||||550 |||||Distance log 2.pdf
07/2/22 |Kelowna, BC |Grande Prairie, AB |||717150 |718200 |1050 |2|550 |500 ||||550 |477 ||||Distance log 2.pdf
08/2/22 |Fort St. Jhon, BC |Nisku, AB |||718200 |719150 |950 |2|650 |300 |||||||||Distance log 2.pdf
09/2/22 |Nisku, AB |Fort St. Jhon, BC |||719150 |720050 |900 |2|750 |150 ||||645 |||||Distance log 2.pdf
10/2/22 |Grande Prairie, AB |Nisku, AB |||720050 |720580 |530 |2|400 |130 ||||640 |||||Distance log 2.pdf
13/2/22 |Nisku to Kamloops |Williams Lake,BC |||720580 |721780 |1200 |2|500 |700 |||||||||Distance log 2.pdf
14/2/22 |Williams Lake, BC |Nisku, AB |||721780 |722830 |1050 |2|550 |500 |||||646 ||||Distance log 2.pdf
