trip_date|trip_origin|trip_destination|trip_start_time|trip_end_time|start_odometer|end_odometer|distance_km|vin_or_truck_number|ab_kms|bc_kms|sk_kms|mb_kms|on_kms|ab_fuel|bc_fuel|sk_fuel|mb_fuel|on_fuel|source_file
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
100.0|100.0|100.0|||100.0|100.0|100.0|100.0|||||||||||100.0
